nodo_id,artista,grado_total,grado_entrada,grado_salida,intermediacion,cercania,pagerank,followers,hub_score,authority_score,comunidad
5Yo5iU2nf4H41waPl4ZnS1,,1,1,0,0.0,0.0,0.0038731156220843535,,-0.0,0.00030646094914770725,29
60ZOYUFnCYEeKYsxgvPxOS,,1,1,0,0.0,0.0,0.003789840235835588,,-0.0,0.0005876882112830289,24
5MraexJKZDrQYzS98kNwie,Sevdaliza,1,1,0,0.0,0.0,0.0036690401952425037,805712.0,-0.0,0.0016713185517937882,1
0LKAV3zJ8a8AIGnyc5OvfB,,1,1,0,0.0,0.0,0.0038260785731127744,,-0.0,0.00036903348859057534,24
2s7fZ34RK8RUJQ2ewsh6I5,,1,1,0,0.0,0.0,0.003840386666487847,,-0.0,0.0007263987760543206,24
6Pr9pssRV0tD0jdh2Z84td,,1,1,0,0.0,0.0,0.0036317704846900384,,-0.0,0.00031587685044604517,24
3IW7ScrzXmPvZhB27hmfgy,,1,1,0,0.0,0.0,0.0036317704846900384,,-0.0,0.00031587685044604517,24
66ArjpKRgw8vYBf9yhktto,,1,1,0,0.0,0.0,0.003723162845527768,,-0.0,0.00046615980513005335,20
77iZVjeYoYSl5P0K9mIiUE,,1,1,0,0.0,0.0,0.00352327981898151,,-0.0,0.0050317465563553335,7
20JMfmzDb5cjHxEoMXXMyY,,1,1,0,0.0,0.0,0.003929758593964744,,-0.0,0.00036594832294099935,24
3J7r4VsNmuWixU0nXvyPd8,,1,1,0,0.0,0.0,0.003929758593964744,,-0.0,0.00036594832294099935,24
3DCWeG2J1fZeu0Oe6i5Q6m,,1,1,0,0.0,0.0,0.003929758593964744,,-0.0,0.00036594832294099935,24
0jIWKlfmD4Ew7HeVVrq03g,Elyanna,1,1,0,0.0,0.0,0.003715601003099052,274198.0,-0.0,0.001801078975671589,0
0adJG3bdFTHCkTY28NkY4u,,1,1,0,0.0,0.0,0.003723162845527768,,-0.0,0.00046615980513005335,20
19HM5j0ULGSmEoRcrSe5x3,Milo j,1,1,0,0.0,0.0,0.003715601003099052,6379239.0,-0.0,0.001801078975671589,0
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,1,1,0,0.0,0.0,0.003715601003099052,56931584.0,-0.0,0.001801078975671589,0
6eXZu6O7nAUA5z6vLV8NKI,Little Simz,1,1,0,0.0,0.0,0.003715601003099052,1128334.0,-0.0,0.001801078975671589,0
3wcj11K77LjEY1PkEazffa,Burna Boy,1,1,0,0.0,0.0,0.003715601003099052,11644009.0,-0.0,0.001801078975671589,0
4axKuDPr6WKcDCyh8vueTY,Luar La L,1,1,0,0.0,0.0,0.0036690401952425037,1974029.0,-0.0,0.0016713185517937882,1
4zOhMWD0LoBe2nP7s9cHhX,Joyce Santana,1,1,0,0.0,0.0,0.0036690401952425037,173763.0,-0.0,0.0016713185517937882,1
3qsKSpcV3ncke3hw52JSMB,Young Miko,1,1,0,0.0,0.0,0.0036690401952425037,3682917.0,-0.0,0.0016713185517937882,1
31VFEohvhOUKrtAONEBhMG,Kenia OS,1,1,0,0.0,0.0,0.0036690401952425037,5999882.0,-0.0,0.0016713185517937882,1
2p4aN0Uxkk3iT3HK0cJ2cJ,Tokischa,1,1,0,0.0,0.0,0.0036690401952425037,1424135.0,-0.0,0.0016713185517937882,1
3PiYQOpQ27ZQA4xRQqB7tE,Nesim Najih,0,0,0,0.0,0.0,0.0033597391608982084,8519.0,-0.0,-0.0,2
1S5WLkcajugOGAx0DfVyIf,ACM Awards New Artist Nominees,0,0,0,0.0,0.0,0.0033597391608982084,729.0,-0.0,-0.0,31
