"id","label","followers","genres","popularity","image_url"
"5W5bDNCqJ1jbCgTxDD0Cb3","Willie Nelson","2420282","country, honky tonk, traditional country","71","https://i.scdn.co/image/ab6772690000c46c82a531f8f5067e13517f5b15"
"32vWCbZh0xZ4o9gkz4PsEU","Dolly Parton","2772483","country","73","https://i.scdn.co/image/ab6761610000e5eb5ec75c9a5d14906ce898f901"
"78adFi9EyRkMh3CTIatrV9","Linda Martell","13046","","50","https://i.scdn.co/image/ab6761610000e5eb796108ed547cc16ba25d84a8"
"3y2cIKLjiOlp1Np37WiUdH","Shaboozey","1049026","","78","https://i.scdn.co/image/ab6761610000e5eb89447fe120bae042c52fad07"
"5OCZWZ399lBKgxBxE8cjRM","Willie Jones","61777","country hip hop","49","https://i.scdn.co/image/ab6761610000e5ebdf81b18da7c972ba7f66e4ca"
"5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","25640361","","83","https://i.scdn.co/image/ab6761610000e5ebe73dc6aa2598689da2e9476c"
"246dkjvS1zLTtiykXe5h60","Post Malone","46623648","","88","https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0"
"46MWeeHNVMYRIIofQBEX98","BEAM","77893","","59","https://i.scdn.co/image/ab6761610000e5eb20582aa199f291d31d6a719c"
"2f9ZiYA2ic1r1voObUimdd","Grace Jones","349931","art pop","53","https://i.scdn.co/image/ab6761610000e5ebc1c97da9c6326675e8c493cd"
"6IhG3Yxm3UW98jhyBvrIut","Tekno","1558003","afrobeats, afrobeat, afropop, azonto, hiplife, afropiano, afroswing","57","https://i.scdn.co/image/ab6761610000e5ebbdfa92a97f9da3258e7776e9"
"2MfKVXjjRUAUEeh4b4y8Sc","Lord Afrixana","2225","afrobeats, afrobeat","35","https://i.scdn.co/image/ab6761610000e5eb3de7a447e762fcc6777e27bc"
"4TAoP0f9OuWZUesao43xUW","Mr Eazi","1554315","afrobeats, afrobeat, afropop, azonto, afroswing, hiplife, dancehall","61","https://i.scdn.co/image/ab6761610000e5eb6bb92fd0515f7bb07ec67a98"
"7fKO99ryLDo8VocdtVvwZW","Yemi Alade","967672","afrobeats, afrobeat, azonto, afropop, bongo flava","51","https://i.scdn.co/image/ab6761610000e5eb2ce4e49443ccea1a7abf2e4d"
"3wcj11K77LjEY1PkEazffa","Burna Boy","11703521","afrobeats, afrobeat, afropop, afroswing, dancehall, afropiano","79","https://i.scdn.co/image/ab6761610000e5eb2d405f4858ce3cd52d409c98"
"73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","13913637","","79","https://i.scdn.co/image/ab6761610000e5ebc3dc5429b676b16d451e5f77"
"65CKKZilbcSKkAPC9a5Mvh","Oumou Sangaré","182580","afropop","46","https://i.scdn.co/image/ab6761610000e5eb701aa97a73c93843574f63ee"
"5t9AqmSUojIXlcw8vUEqDc","DJ Salatiel","24393","funk, brazilian funk","47","https://i.scdn.co/image/ab6761610000e5ebc0985fa37683c7c1cb0e6947"
"2RdwBSPQiwcmiDo9kixcl8","Pharrell Williams","5084174","","82","https://i.scdn.co/image/ab6761610000e5ebf0789cd783c20985ec3deb4e"
"3XV0lFzNs8BCTwhJTcMiBr","Blue Ivy","27889","","48",""
"0H39MdGGX6dbnnQPt6NQkZ","SAINt JHN","1112639","","68","https://i.scdn.co/image/ab6761610000e5eb5d18141fa518f77d006d6933"
"1hNaHKp2Za5YdOAG0WnRbc","Tiwa Savage","2364859","afrobeats, afrobeat, afropop, azonto, afropiano, hiplife, afroswing","63","https://i.scdn.co/image/ab6761610000e5ebf1194f501c0dc7ecd45c7d26"
"42q0rYXtR561ypg1Fcw1PI","Shatta Wale","439776","hiplife, azonto, shatta, afrobeats, afrobeat, asakaa, afropop, highlife, dancehall","55","https://i.scdn.co/image/ab6761610000e5eb4b9c8478e046551c38920635"
"738wLrAtLtCtFOLvQBXOXp","Major Lazer","6258790","moombahton","75","https://i.scdn.co/image/ab6761610000e5eb133f44ab343b35c715a4ac97"
"7f9KxQWD88MZrSY6jc0zoW","Nija","60086","","46","https://i.scdn.co/image/ab6761610000e5ebbd57424ab1eb2dbea383ec0e"
"3RThWxnHbyN5Hvkr66eYj7","Busiswa","283971","gqom, amapiano, afrobeats","49","https://i.scdn.co/image/ab6761610000e5eb7e83b530f87a3d5d873209cf"
"4lPl9gqgox3JDiaJ1yklKh","Tierra Whack","512467","alternative r&b","54","https://i.scdn.co/image/ab6761610000e5eb5345ee65b6713e1bb1edd921"
